policy,multiplier,manual_repair_fail_prob,n_reps,mean_time_hrs,stdev_time_hrs
Random+NeverRemove,5,0.2,10,1760.28,25.954064121914634
Random+NeverRemove,5,0.4,10,1783.7849999999994,42.96893613091012
Random+NeverRemove,5,0.6,10,1833.1899999999998,37.71607968316271
Random+NeverRemove,5,0.75,10,1849.3949999999988,41.97109091055628
Random+NeverRemove,5,0.9,10,1883.295,41.15368520018004
Random+NeverRemove,10,0.2,10,1885.5949999999998,27.986181610058413
Random+NeverRemove,10,0.4,10,1937.685,40.88498128218291
Random+NeverRemove,10,0.6,10,2007.189999999999,36.0125040013107
Random+NeverRemove,10,0.75,10,2097.8300000000004,40.680477163157626
Random+NeverRemove,10,0.9,10,2198.305,39.304667873761844
Random+NeverRemove,15,0.2,10,1921.13,29.330569945593655
Random+NeverRemove,15,0.4,10,2027.9250000000015,40.29450782812926
Random+NeverRemove,15,0.6,10,2138.13,31.587033204570528
Random+NeverRemove,15,0.75,10,2275.7200000000003,61.597069735499716
Random+NeverRemove,15,0.9,10,2399.874999999998,55.002627462493614
Random+NeverRemove,20,0.2,10,1937.395,36.88050109625919
Random+NeverRemove,20,0.4,10,2059.820000000001,60.49491346845451
Random+NeverRemove,20,0.6,10,2220.38,51.691333896506904
Random+NeverRemove,20,0.75,10,2389.470000000001,36.86474678545244
Random+NeverRemove,20,0.9,10,2605.4749999999995,33.48398663706372
Random+NeverRemove,25,0.2,10,1956.115,42.67110686531415
Random+NeverRemove,25,0.4,10,2082.4349999999995,31.727083155493197
Random+NeverRemove,25,0.6,10,2278.2749999999996,29.07991145103529
Random+NeverRemove,25,0.75,10,2481.2700000000004,54.321114167924186
Random+NeverRemove,25,0.9,10,2806.5049999999997,60.66837199984314
Random+ScoredRemoval(SC_fast),5,0.2,10,1745.9700000000005,32.24601784200092
Random+ScoredRemoval(SC_fast),5,0.4,10,1800.6399999999994,30.762303771553963
Random+ScoredRemoval(SC_fast),5,0.6,10,1811.0000000000005,30.557305000423476
Random+ScoredRemoval(SC_fast),5,0.75,10,1818.5449999999998,36.44093737360021
Random+ScoredRemoval(SC_fast),5,0.9,10,1858.2399999999998,38.968589915469046
Random+ScoredRemoval(SC_fast),10,0.2,10,1870.415,46.09852401830998
Random+ScoredRemoval(SC_fast),10,0.4,10,1921.824999999999,30.55873443060175
Random+ScoredRemoval(SC_fast),10,0.6,10,1942.3449999999993,33.79718471181339
Random+ScoredRemoval(SC_fast),10,0.75,10,1991.1399999999994,41.84379550449632
Random+ScoredRemoval(SC_fast),10,0.9,10,2012.5049999999994,24.46948723523949
Random+ScoredRemoval(SC_fast),15,0.2,10,1911.3999999999999,38.804374037529264
Random+ScoredRemoval(SC_fast),15,0.4,10,1955.3,22.972060324566144
Random+ScoredRemoval(SC_fast),15,0.6,10,2021.2549999999997,35.54155978881921
Random+ScoredRemoval(SC_fast),15,0.75,10,2029.4099999999992,23.18119208899095
Random+ScoredRemoval(SC_fast),15,0.9,10,2094.2599999999998,45.97506449756753
Random+ScoredRemoval(SC_fast),20,0.2,10,1903.0899999999995,20.62395855956674
Random+ScoredRemoval(SC_fast),20,0.4,10,1986.57,33.194830588177304
Random+ScoredRemoval(SC_fast),20,0.6,10,2032.7999999999981,27.769907774023164
Random+ScoredRemoval(SC_fast),20,0.75,10,2080.5900000000006,34.534940438795445
Random+ScoredRemoval(SC_fast),20,0.9,10,2116.8300000000017,42.38834483413894
Random+ScoredRemoval(SC_fast),25,0.2,10,1938.8399999999988,20.230859266641307
Random+ScoredRemoval(SC_fast),25,0.4,10,2000.8049999999994,38.4166952277541
Random+ScoredRemoval(SC_fast),25,0.6,10,2067.16,35.49814392644004
Random+ScoredRemoval(SC_fast),25,0.75,10,2102.75,30.56818425894674
Random+ScoredRemoval(SC_fast),25,0.9,10,2135.4650000000006,44.554654638992595
FewestFailuresFirst+NeverRemove,5,0.2,10,1750.890000000001,24.53871997023841
FewestFailuresFirst+NeverRemove,5,0.4,10,1749.300000000001,45.599147165515745
FewestFailuresFirst+NeverRemove,5,0.6,10,1774.8150000000005,20.671196412184973
FewestFailuresFirst+NeverRemove,5,0.75,10,1807.9849999999988,22.42846715424227
FewestFailuresFirst+NeverRemove,5,0.9,10,1819.4999999999995,52.95230558405066
FewestFailuresFirst+NeverRemove,10,0.2,10,1854.0100000000002,21.555803549546642
FewestFailuresFirst+NeverRemove,10,0.4,10,1874.6949999999997,31.225999227851215
FewestFailuresFirst+NeverRemove,10,0.6,10,1913.5150000000008,32.8371068051573
FewestFailuresFirst+NeverRemove,10,0.75,10,1964.4300000000003,33.160646019709276
FewestFailuresFirst+NeverRemove,10,0.9,10,1999.7450000000001,62.884534620559144
FewestFailuresFirst+NeverRemove,15,0.2,10,1888.025,42.490752261847575
FewestFailuresFirst+NeverRemove,15,0.4,10,1948.2800000000002,43.258288865321816
FewestFailuresFirst+NeverRemove,15,0.6,10,2017.92,47.22525336677008
FewestFailuresFirst+NeverRemove,15,0.75,10,2052.0199999999995,50.762230053455745
FewestFailuresFirst+NeverRemove,15,0.9,10,2121.3199999999997,51.497401228930556
FewestFailuresFirst+NeverRemove,20,0.2,10,1928.1200000000003,37.47339945436806
FewestFailuresFirst+NeverRemove,20,0.4,10,1986.9150000000004,56.3714469193206
FewestFailuresFirst+NeverRemove,20,0.6,10,2056.9100000000008,60.406041824381255
FewestFailuresFirst+NeverRemove,20,0.75,10,2123.035,51.732259707501775
FewestFailuresFirst+NeverRemove,20,0.9,10,2209.839999999999,58.255213405230435
FewestFailuresFirst+NeverRemove,25,0.2,10,1920.7949999999994,43.16374153538274
FewestFailuresFirst+NeverRemove,25,0.4,10,2011.1200000000013,39.644540047218996
FewestFailuresFirst+NeverRemove,25,0.6,10,2094.3149999999996,45.21350615567068
FewestFailuresFirst+NeverRemove,25,0.75,10,2191.410000000001,70.83667364673131
FewestFailuresFirst+NeverRemove,25,0.9,10,2270.47,44.30888548963175
