git_commit,n_reps,base_seed,seed,rep,policy,removal_policy,diagnosis_probability,diagnosis_uncertainty,multiplier,training_time_hrs,etr,total_failures,systematic_failures,misattributed_repairs,nonfaulty_repairs,servers_retired,faulty_in_pool_timeavg,faulty_in_active_timeavg,n_monitor_samples,host_selection_count,preemption_count,job_stall_count,cluster_depleted,wall_seconds,params_json
b1cf4f25a61df4a32b6c8c850a06d9b37d51f2dc,30,42,43,1,Random,NeverRemove,1.0,0.0,5.0,9836.433333333349,0.6246166462776139,11074,588,0,10344,0,52.96890243902439,52.64390243902439,1640,22,0,0,0,27.78,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 43, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
b1cf4f25a61df4a32b6c8c850a06d9b37d51f2dc,30,42,44,2,Random,NeverRemove,1.0,0.0,5.0,9768.199999999972,0.6289797506193594,10869,620,0,10148,0,55.637814610190304,55.11356660527931,1629,24,0,0,0,29.27,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 44, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
b1cf4f25a61df4a32b6c8c850a06d9b37d51f2dc,30,42,44,2,Random,NeverRemove,0.8,0.0,5.0,9842.466666666625,0.6242337625392035,11093,778,0,8044,0,69.93784277879342,68.9762340036563,1641,16,0,0,0,29.54,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 0.8, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 44, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
b1cf4f25a61df4a32b6c8c850a06d9b37d51f2dc,30,42,43,1,Random,NeverRemove,0.8,0.0,5.0,9932.183333333325,0.6185951058092295,11362,755,0,8347,0,67.3798309178744,66.08212560386474,1656,17,0,0,0,30.0,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 0.8, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 43, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
b1cf4f25a61df4a32b6c8c850a06d9b37d51f2dc,30,42,42,0,Random,NeverRemove,1.0,0.0,5.0,9866.666666666706,0.6227027027027017,11165,612,0,10434,0,57.52765957446808,56.96960486322188,1645,20,0,0,0,33.63,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 42, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
b1cf4f25a61df4a32b6c8c850a06d9b37d51f2dc,30,42,42,0,Random,NeverRemove,0.8,0.0,5.0,9886.033333333364,0.6214828326831437,11224,729,0,8315,0,67.37924757281553,66.40655339805825,1648,14,0,0,0,35.87,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 0.8, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 42, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
b1cf4f25a61df4a32b6c8c850a06d9b37d51f2dc,30,42,45,3,Random,NeverRemove,1.0,0.0,5.0,9816.333333333336,0.625895616149957,11014,582,0,10322,0,51.444715943799636,50.628588882101404,1637,20,0,0,0,24.48,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 45, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
b1cf4f25a61df4a32b6c8c850a06d9b37d51f2dc,30,42,46,4,Random,NeverRemove,1.0,0.0,5.0,9819.000000000033,0.6257256339749477,11022,612,0,10301,0,57.117898594990834,55.95968234575443,1637,20,0,0,0,23.58,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 46, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
b1cf4f25a61df4a32b6c8c850a06d9b37d51f2dc,30,42,46,4,Random,NeverRemove,0.8,0.0,5.0,9867.900000000027,0.6226248745933775,11169,750,0,8186,0,67.54893617021277,66.33009118541034,1645,18,0,0,0,28.32,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 0.8, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 46, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
b1cf4f25a61df4a32b6c8c850a06d9b37d51f2dc,30,42,45,3,Random,NeverRemove,0.8,0.0,5.0,9892.700000000013,0.6210640169013493,11244,730,0,8224,0,61.05154639175258,60.17828987265009,1649,14,0,0,0,29.14,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 0.8, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 45, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
