section,x,policy,n_reps,mean_time_hrs,stdev_time_hrs,mean_retired,stdev_retired,depleted_frac
head_to_head,,NeverRemove,15,2394.7633333333333,48.907049107268904,0.0,0.0,0.0
head_to_head,,Thresh ≥5/7d,15,2394.7633333333333,48.907049107268904,0.0,0.0,0.0
head_to_head,,Thresh ≥3/7d,15,2388.236666666667,47.42780779649253,4.4,2.667261838343906,0.0
head_to_head,,Thresh ≥2/7d,15,2319.123333333333,53.57110050693333,106.2,10.63820607863133,0.0
head_to_head,,Thresh ≥1/7d,15,1006.2234491229664,79.54448862403225,699.1333333333333,5.680375574437544,1.0
head_to_head,,SC_fast,15,2077.716666666667,30.17512378165357,389.6,11.318758134808151,0.0
head_to_head,,SC_moderate,15,2077.716666666667,30.17512378165357,389.6,11.318758134808151,0.0
head_to_head,,SC_long_period,15,2077.716666666667,30.17512378165357,389.6,11.318758134808151,0.0
head_to_head,,SC_calibrated,15,2232.326666666665,55.57120228867941,187.66666666666666,8.837151016885368,0.0
multiplier,5,NeverRemove,15,1854.7733333333324,44.79189525966022,0.0,0.0,0.0
multiplier,10,NeverRemove,15,2093.0533333333333,43.73820439626602,0.0,0.0,0.0
multiplier,15,NeverRemove,15,2276.7366666666667,60.77812831070352,0.0,0.0,0.0
multiplier,20,NeverRemove,15,2394.7633333333333,48.907049107268904,0.0,0.0,0.0
multiplier,25,NeverRemove,15,2465.96,55.87802149069339,0.0,0.0,0.0
multiplier,30,NeverRemove,15,2551.7766666666657,54.74313024959303,0.0,0.0,0.0
multiplier,5,Thresh ≥3/7d,15,1862.3799999999992,35.098482873195614,0.2,0.4140393356054125,0.0
multiplier,10,Thresh ≥3/7d,15,2079.9199999999996,47.20765600741404,1.6,0.828078671210825,0.0
multiplier,15,Thresh ≥3/7d,15,2272.1533333333336,37.437187712347495,2.8,1.52127765851133,0.0
multiplier,20,Thresh ≥3/7d,15,2388.236666666667,47.42780779649253,4.4,2.667261838343906,0.0
multiplier,25,Thresh ≥3/7d,15,2469.1666666666665,36.20610478647804,6.6,2.6403462976338106,0.0
multiplier,30,Thresh ≥3/7d,15,2537.539999999999,65.58901584869089,9.4,3.3551665915633544,0.0
multiplier,5,Thresh ≥2/7d,15,1849.0699999999997,32.33704642400927,33.86666666666667,5.040786030920556,0.0
multiplier,10,Thresh ≥2/7d,15,2071.1033333333326,47.44685924675082,58.06666666666667,5.470265946351194,0.0
