git_commit,seed,rep,training_time_hrs,etr,total_failures,random_failures,systematic_failures,auto_repairs,manual_repairs,successful_repairs,failed_repairs,servers_retired,preemption_count,host_selection_count,job_stall_count,cluster_depleted,compute_hrs,recovery_hrs,host_selection_hrs,wait_hrs,avg_run_duration_mins,bad_servers_cured,bad_server_repair_failures,nonfaulty_repairs,misattributed_repairs,faulty_in_pool_initial,faulty_in_pool_timeavg,faulty_in_pool_final,faulty_in_active_timeavg,converged,params_json
da28d045aeb687e2f7991924bb1c67e7501cd076,42,0,9881.04999999999,0.6217962665910969,11191,10475,716,11191,8896,8480,2711,0,14,41,0,0,6143.999999999952,3730.3333333333335,2.05,4.666666666666667,32.93744800120909,624,212,10355,0,622,63.58044930176078,0,63.287795992714024,1,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 42, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
da28d045aeb687e2f7991924bb1c67e7501cd076,43,1,9877.616666666758,0.6220123950278125,11184,10510,674,11184,8883,8546,2638,0,11,39,0,0,6144.000000000027,3728.0,1.95,3.6666666666666665,32.96117154804545,625,188,10371,0,624,60.643594414086216,0,60.31390406800243,1,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 42, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
da28d045aeb687e2f7991924bb1c67e7501cd076,44,2,9810.91666666669,0.6262411769202678,10980,10298,682,10980,8799,8393,2587,0,14,45,0,0,6144.000000000018,3660.0,2.25,4.666666666666667,33.57278524566965,619,199,10162,0,619,59.544009779951104,0,59.17542787286064,1,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 42, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
da28d045aeb687e2f7991924bb1c67e7501cd076,45,3,9930.233333333328,0.6187165793351603,11343,10677,666,11343,9065,8765,2578,0,10,38,0,0,6143.999999999984,3781.0,1.9,3.3333333333333335,32.495418016710666,618,179,10546,0,618,58.13768115942029,0,57.89190821256039,1,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 42, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
da28d045aeb687e2f7991924bb1c67e7501cd076,46,4,9893.666666666708,0.6210033354671368,11232,10548,684,11232,9015,8561,2671,0,11,40,0,0,6144.000000000055,3744.0,2.0,3.6666666666666665,32.81893664333367,622,209,10401,0,620,60.847180109157065,0,60.548817465130384,1,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 42, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
da28d045aeb687e2f7991924bb1c67e7501cd076,47,5,9841.483333333337,0.6242961342209568,11075,10418,657,11075,8905,8504,2571,0,11,43,0,0,6143.999999999977,3691.6666666666665,2.15,3.6666666666666665,33.28479520140694,623,165,10287,0,622,57.855575868372945,0,57.52650822669104,1,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 42, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
da28d045aeb687e2f7991924bb1c67e7501cd076,48,6,9835.916666666622,0.6246494564987171,11057,10375,682,11057,8911,8409,2648,0,12,45,0,0,6143.999999999977,3685.6666666666665,2.25,4.0,33.33926867815365,624,177,10256,0,622,60.83170731707317,0,60.510365853658534,1,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 42, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
da28d045aeb687e2f7991924bb1c67e7501cd076,49,7,9928.633333333333,0.6188162855579284,11335,10654,681,11335,9021,8677,2658,0,12,46,0,0,6143.999999999967,3778.3333333333335,2.3,4.0,32.52105196259482,626,197,10512,0,623,60.31963746223565,0,59.860422960725074,1,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 42, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
da28d045aeb687e2f7991924bb1c67e7501cd076,50,8,9902.433333333316,0.6204535585529506,11246,10549,697,11246,9010,8535,2711,0,23,42,0,0,6144.000000000013,3748.6666666666665,2.1,7.666666666666667,32.77891974684884,628,196,10422,0,625,61.01514233797698,0,60.63113264688068,1,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 42, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
da28d045aeb687e2f7991924bb1c67e7501cd076,51,9,9865.949999999992,0.6227479360831991,11148,10458,690,11148,8872,8472,2676,0,12,39,0,0,6144.000000000034,3716.0,1.95,4.0,33.065195908006125,622,202,10324,0,620,61.30881458966565,0,60.90516717325228,1,"{""adaptive_replications"": true, ""auto_repair_fail_prob"": 0.4, ""auto_repair_time"": 120.0, ""bad_server_regen_interval"": 43200, ""bad_server_regeneration"": false, ""confidence_level"": 0.95, ""diagnosis_probability"": 1.0, ""diagnosis_uncertainty"": 0.0, ""enable_topology"": false, ""failure_distribution"": ""exponential"", ""host_selection_time"": 3.0, ""job_length"": 368640, ""job_size"": 4096, ""lognormal_sigma"": 1.0, ""manual_repair_fail_prob"": 0.2, ""manual_repair_time"": 2880.0, ""max_replications"": 500, ""num_replications"": 30, ""preemption_wait_time"": 20.0, ""prob_auto_to_manual"": 0.8, ""rack_size"": 8, ""random_failure_rate"": 6.944444e-06, ""recovery_time"": 20.0, ""relative_accuracy"": 0.05, ""seed"": 42, ""spare_pool_size"": 200, ""systematic_failure_fraction"": 0.15, ""systematic_failure_rate_multiplier"": 5.0, ""warm_standbys"": 16, ""weibull_shape"": 1.0, ""working_pool_size"": 4160}"
