parameter,param_value,policy,mean_time_hrs,stdev_time_hrs,mean_retired,stdev_retired,depleted_frac
systematic_failure_rate_multiplier,1,NeverRemove,1572.78,40.10,0.0,0.0,0.00
systematic_failure_rate_multiplier,1,Thresh ≥2/7d,1580.71,32.48,19.9,5.7,0.00
systematic_failure_rate_multiplier,1,Thresh ≥3/7d,1572.78,40.10,0.0,0.0,0.00
systematic_failure_rate_multiplier,2,NeverRemove,1633.01,39.55,0.0,0.0,0.00
systematic_failure_rate_multiplier,2,Thresh ≥2/7d,1660.96,43.75,20.4,5.5,0.00
systematic_failure_rate_multiplier,2,Thresh ≥3/7d,1629.78,38.52,0.1,0.4,0.00
systematic_failure_rate_multiplier,5,NeverRemove,1848.27,47.11,0.0,0.0,0.00
systematic_failure_rate_multiplier,5,Thresh ≥2/7d,1864.41,30.95,34.1,5.5,0.00
systematic_failure_rate_multiplier,5,Thresh ≥3/7d,1862.54,27.83,0.4,0.5,0.00
systematic_failure_rate_multiplier,10,NeverRemove,2095.58,40.08,0.0,0.0,0.00
systematic_failure_rate_multiplier,10,Thresh ≥2/7d,2054.13,47.21,58.6,3.7,0.00
systematic_failure_rate_multiplier,10,Thresh ≥3/7d,2082.97,52.43,1.6,0.7,0.00
systematic_failure_rate_multiplier,15,NeverRemove,2267.56,65.93,0.0,0.0,0.00
systematic_failure_rate_multiplier,15,Thresh ≥2/7d,2217.85,56.68,83.1,10.1,0.00
systematic_failure_rate_multiplier,15,Thresh ≥3/7d,2260.24,30.05,2.9,2.0,0.00
systematic_failure_rate_multiplier,20,NeverRemove,2394.64,38.69,0.0,0.0,0.00
systematic_failure_rate_multiplier,20,Thresh ≥2/7d,2305.79,68.15,105.6,12.5,0.00
systematic_failure_rate_multiplier,20,Thresh ≥3/7d,2385.13,46.82,3.8,2.3,0.00
systematic_failure_rate_multiplier,25,NeverRemove,2470.62,54.66,0.0,0.0,0.00
systematic_failure_rate_multiplier,25,Thresh ≥2/7d,2343.06,44.69,115.0,8.0,0.00
systematic_failure_rate_multiplier,25,Thresh ≥3/7d,2465.84,37.23,6.1,2.9,0.00
systematic_failure_rate_multiplier,30,NeverRemove,2535.48,58.08,0.0,0.0,0.00
systematic_failure_rate_multiplier,30,Thresh ≥2/7d,2360.60,51.59,128.4,6.2,0.00
systematic_failure_rate_multiplier,30,Thresh ≥3/7d,2508.89,69.46,10.5,3.3,0.00
manual_repair_fail_prob,0.0,NeverRemove,1874.54,46.84,0.0,0.0,0.00
manual_repair_fail_prob,0.0,Thresh ≥2/7d,1865.36,38.51,29.2,4.3,0.00
manual_repair_fail_prob,0.0,Thresh ≥3/7d,1874.54,46.84,0.0,0.0,0.00
manual_repair_fail_prob,0.2,NeverRemove,1934.41,36.13,0.0,0.0,0.00
manual_repair_fail_prob,0.2,Thresh ≥2/7d,1941.54,29.58,41.1,8.2,0.00
manual_repair_fail_prob,0.2,Thresh ≥3/7d,1946.16,41.30,0.6,0.9,0.00
manual_repair_fail_prob,0.4,NeverRemove,2067.45,44.21,0.0,0.0,0.00
manual_repair_fail_prob,0.4,Thresh ≥2/7d,2024.75,30.97,58.8,5.8,0.00
manual_repair_fail_prob,0.4,Thresh ≥3/7d,2060.97,28.70,1.6,1.3,0.00
manual_repair_fail_prob,0.6,NeverRemove,2221.01,51.13,0.0,0.0,0.00
manual_repair_fail_prob,0.6,Thresh ≥2/7d,2167.05,38.21,76.9,8.7,0.00
manual_repair_fail_prob,0.6,Thresh ≥3/7d,2232.63,49.16,2.9,1.8,0.00
manual_repair_fail_prob,0.75,NeverRemove,2394.64,38.69,0.0,0.0,0.00
manual_repair_fail_prob,0.75,Thresh ≥2/7d,2305.79,68.15,105.6,12.5,0.00
manual_repair_fail_prob,0.75,Thresh ≥3/7d,2385.13,46.82,3.8,2.3,0.00
manual_repair_fail_prob,0.9,NeverRemove,2605.99,37.82,0.0,0.0,0.00
manual_repair_fail_prob,0.9,Thresh ≥2/7d,2504.12,48.05,128.0,12.5,0.00
manual_repair_fail_prob,0.9,Thresh ≥3/7d,2601.04,76.76,7.4,2.8,0.00
working_pool_size,4130,NeverRemove,2345.41,48.98,0.0,0.0,0.00
working_pool_size,4130,Thresh ≥2/7d,2285.06,40.80,96.4,8.5,0.00
working_pool_size,4130,Thresh ≥3/7d,2350.31,47.45,5.0,1.8,0.00
working_pool_size,4200,NeverRemove,2378.98,46.09,0.0,0.0,0.00
working_pool_size,4200,Thresh ≥2/7d,2293.01,39.09,101.0,10.2,0.00
working_pool_size,4200,Thresh ≥3/7d,2383.74,40.63,3.6,1.5,0.00
working_pool_size,4300,NeverRemove,2354.99,34.37,0.0,0.0,0.00
working_pool_size,4300,Thresh ≥2/7d,2258.01,59.54,96.6,8.8,0.00
working_pool_size,4300,Thresh ≥3/7d,2346.33,69.32,4.4,1.5,0.00
working_pool_size,4400,NeverRemove,2392.85,58.02,0.0,0.0,0.00
